id_locacion,nombre,nombre_oficial,direccion,ano_fundacion,lat,lon
1,Centro Cultural San Mart’n,Centro Cultural San Mart’n,"Sarmiento 1551, Capital Federal",1970,,
2,Espacio Fundaci—n Telef—nica,Espacio Fundaci—n Telef—nica,"Arenales 1540, Capital Federal",,,
3,Centro Cultural Recoleta,Centro Cultural Recoleta,"Jun’n 1930, Capital Federal",,,
4,CCEBA Florida,Centro Cultural de Espa–a Buenos Aires Sede Florida,"Florida 943, Capital Federal",,,
5,CCEBA Paran‡,Centro Cultural de Espa–a Buenos Aires Sede Paran‡,"Paran‡ 1159, Capital Federal",,,
6,Centro Municipal de Exposiciones,Centro Municipal de Exposiciones,J. E. Couture 2231,,,
7,Planetario,Planetario,"Sarmiento y Belisario Rold‡n, Capital Federal",,,
8,Teatro 25 de Mayo,Teatro 25 de Mayo,"Av. Triunvirato 4444, Capital Federal",,,
