id_curador,nombre
1,"Pimentel, Diego"
2,"Taquini, Graciela "
3,Alonso Rodrigo
4,"Rizzo, Natalia"
5,Zuzulich Natalia
6,"Ladly, Martha"
7,"Buzio, Guillermina"
8,"Sard—n, Mariano"
9,"Bucellato, Laura "
10,"Ruiz, Alma"
11,"Bousso, Daniela"
12,"Bastos, Marcus"
13,"Garc’a Canglini, NŽstor "
14,"Giunta, Andrea "
15,"Aramburu, Nekane"
16,"Machado, Arlindo "
17,"Neuberguer, Sonia "
18,"Roisman, Dina "
19,"Grinstein, Eva "
20,"Waiszelbaum, Nicol‡s "
21,"Gonzalez, Marina"
