año,nombre_exhibición,nombre_locacion,curador_0,curador_1,curador_2,curador_3,fecha_inicio,fecha_finalización,nombre_obra,nombre_artista_0,nombre_artista_1,nombre_artista_2,nombre_artista_3,nombre_artista_4,nombre_artista_5,nombre_artista_6,nombre_artista_7,nombre_artista_8,técnica
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,"Museo de los niños débiles, el libro encontrado","Almirón, Alejandra","De la Puente, Maximiliano",,,,,,,,arte sonoro
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Orbitando,"Semino, Eva",,,,,,,,,videoarte 360
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Persevera,"Uribarri, Agostina",,,,,,,,,videoarte 360
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Plankton,"Adba, Agustín","Berro Madero, Agustín","Borini, Martín","Iacona, Agustín","Incarbone, Florencia","Leyrado, Mano","Rovegno, Gonzalo","Roviralta, Alico","Siciliano, Denise",arte sonoro
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Post imágenes,"Pons, Ricardo",,,,,,,,,instalación numérica y sonora
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Resquicio,"Ballesta, Gabriela","Busse, Olivia","Falke, Mercedes","Koch, Paola","Lo Bue, Melina","Schmitz, Melisa",,,,arte sonoro
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,"Roundup, un paseo por el imaginario transgénico","Pardo, Guadalupe",,,,,,,,,instalación robótica
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Ser virtual,"Sturmann, Marcelo",,,,,,,,,arte sonoro
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Sismovideoartegráfico,"Corral, Mariana",,,,,,,,,instalación
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Sudarios,"Sarragoichea, Edicita",,,,,,,,,instalación
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Sustratos sociales: las páginas de nuestra historia,"Tirigall, Juan José María",,,,,,,,,instalación interactiva
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Umbra,"Ramos, Edison","Redigonda, Gabriel","Redigonda, Sergio",,,,,,,instalación robótica
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Vermelho sobre vermelho,"Fortes, Hugo","Fonseca, Síssi",,,,,,,,arte sonoro
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Vigilancia expandida,"Amaro, Leandro","Cipriani, Julia","Correa, Rafael","Geller, Adrián","Hormaza, Daniela","Iglesias, Verónica","Moschcovich, Iván",,,arte sonoro
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Vuelta a casa,"Thorton, Alejandro",,,,,,,,,instalación robótica
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",25/10/2014,09/11/2014,Yo.Vos. Todos. Un multiretrato sin raza,"Gallegos, Fabiana",,,,,,,,,Instalación interactiva
2014,FASE 6,Centro Cultural Recoleta,"Adler, Jazmín","Ferlat, Juan Pablo","Marzoni, Marcelo","Spadaccini, Silvana",26/10/2014,26/10/2014,"Gesto, memoria y sociedad",Trio Alcatraz- Bifferella- Catalano,,,,,,,,,arte sonoro
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,1892,"D`Angelo, Jos_ María","Huguet, Hernán",,,,,,,,instalación robótica
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,"And then, it all deliquesced","Lee, Una",,,,,,,,,arte sonoro
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Audio for Wai,"Clothier, Ian",,,,,,,,,videoarte 360
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Breath of the Compassionate,"Alves, Bill",,,,,,,,,arte sonoro
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Chronotope,"Zavada, Ivan",,,,,,,,,videoarte 360
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Daughter of the wind,"Cultbertson, Lin",,,,,,,,,instalación interactiva
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Decoding reality,"Dal Farra, Ricardo",,,,,,,,,arte sonoro
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Drip Bop Drop Dribble,"Jenks, Alden",,,,,,,,,instalación interactiva
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Eisenia,"Chávez, Guadalupe","Munguía, Gabriela",,,,,,,,videoarte 360
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Electrohidrofonia,"Espina, Damián Paul",,,,,,,,,performance musical
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/01/2014,Elevaciones,"Nuñez, Leo",,,,,,,,,performance
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Hidrófono espacial de electrones,"Espina, Damián Paul",,,,,,,,,performance musical
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Huerta hipermedial,NETI,,,,,,,,,performance musical
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Hysterical Machines,"Vorn, Bill",,,,,,,,,mesa redonda
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,IceCap,"Helyer, Nigel",,,,,,,,,performance musical
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,In Natura Luminae (2b),"Herraiz, Martin",,,,,,,,,performance musical
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Intuiciones numéricas,"Valente, Claudia",,,,,,,,,performance musical
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/01/2014,Lágrima del cosmos,Proyecto Untitled,,,,,,,,,performance musical
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Many drops,"Garrett, Richard",,,,,,,,,mesa redonda
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Mega Histerical Machine,"Vorn, Bill",,,,,,,,,performance musical
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Mosquitoes,"Fernandes, Joío",,,,,,,,,mesa redonda
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Open systems,Jutoko Collective,,,,,,,,,performance musical
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Perspective,"Fratzl, Gerald",,,,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Physical,"Biederman, Matthew","Thibault, Alain",,,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Proyecto del cosmos,Proyecto Untitled,,,,,,,,,videoarte
2014,Noviembre Electrónico 2014,Centro  Cultural San Martín,"Pimentel, Diego",,,,13/11/2014,23/11/2014,Radiation balance at top of the atmosphere,"Vogt, Katharina",,,,,,,,,videoarte
