a_o,nombre_exhibiciãn,nombre_locacion,curador_1,curador_2,curador_3,fecha_inicio,fecha_cierre,nombre_obra,nombre_artista_0,nombre_artista_3,nombre_artista_2,nombre_artista_3,nombre_artista_4,nombre_artista_5,t_cnica
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Nuevo Video Argentino,"Florido, Estanislao","Levy, Florencia","Yanitto, Guido","Heller, Mãnica",,,video (selecciãn)
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Mouseplug o rat„n enchufado,"Cohn, Alejandro",,,,,,Dibujos
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Itinerarios posibles para volver a casa,"Golder, Gabriela",,,,,,Instalaci„n
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,En el fondo de todo hay un jardÍn,"Yeregui, Mariela",,,,,,Instalaci„n
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Vortex,"Wloch, Christian",,,,,,Escultura audiovisual
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,El grito,"Rautenstrauch, Tomas",,,,,,videoinstalaci„n
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Inmersos,"Muttis, Daniela",,,,,,videoinstalaci„n
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Torre,"Rey,  Juan",,,,,,Instalaci„n
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,S/T,"Mi_o, Jorge",,,,,,video
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Coexistencia,Proyecto Biopus,"Rivero, Ezequiel","Bedoian, David",,,,Instalaciãn interactiva
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,"""Franc estˆ (retrato laberÍntico de Francisco Paredes, de la serie 'estancia')""","Bilatz, Javier",,,,,,instalaci„n site-specific
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,S/T,"Kuschnir, LucÍa",,,,,,instalaci„n y performance lumÍnica
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Caballo + fotografÍas inspiradas Eadweard Muybridge,"Lamanna, Sergio",,,,,,Instalaci„n
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,4:00 AM,"Kornfeld, Ian",,,,,,videoinstalaci„n
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Grˆvida,"Larra_aga, Gabriela","Rivas, Paula",,,,,videoinstalaci„n
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,SÍn titulo,"Schianchi, Alejandro",,,,,,realidad aumentada
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Late,Proyecto Untitled,,,,,,instalaci„n
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Vaiv_n,"Taquini, Graciela","Larra_aga, Gabriela","Vanoni, Anabel","Puppo, Teresa",,,videoinstalaci„n
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Superflumina babylon,"Baca, Ernesto",,,,,,cortometraje
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Mamani,"Baca, Ernesto",,,,,,cortometraje
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Kairos,"Baca, Ernesto",,,,,,cortometraje
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Los soles desintegrados,"Baca, Ernesto",,,,,,cortometraje
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Las sonˆmbulas,"Baca, Ernesto",,,,,,cortometraje
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Aires,"Baca, Ernesto",,,,,,cortometraje
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Film NN,"Baca, Ernesto",,,,,,cortometraje
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Edificios,"Baca, Ernesto",,,,,,cortometraje
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,El_ctrico,"Baca, Ernesto",,,,,,cortometraje
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Longvie,"Hanono, Julieta",,,,,,Instalaci„n
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Mariposas,"Hanono, Julieta",,,,,,Instalaci„n
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Papa y el Pozo,"Hanono, Julieta",,,,,,Instalaci„n
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,RÍo Grande,"Hanono, Julieta",,,,,,videoinstalaci„n
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Dibujos,"Hanono, Julieta",,,,,,Dibujos
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Sioux Ghost Dance,"Michaud, Philippe Alain",,,,,,cortometraje
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,Soft Palate,"Michaud, Philippe Alain",,,,,,cortometraje
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,In the land of the head hunters,"Michaud, Philippe Alain",,,,,,cortometraje
2011,Cultura y Media 2011. Lo nuevo de lo nuevo,1,2,4,21,24/11/2011,26/11/2011,DeadMan,"Michaud, Philippe Alain",,,,,,largometraje
2010,Cultura y Media 2010. Entre tiempos,1,2,4,5,11/11/11,14/11/2011,Speak,"Kesler, Fabiàn","Ceriani, Alejandro","Costa Alisedo, Fabricio",,,,performance interactiva
,,,,,,,,Burnstation,Grupo PlatoniA,"Rey, Juan",Rama,,,,Instalaci„n
,,,,,,,,Una respuesta al Pop,"Flores, María","Romero García, Graciela",,,,,largometraje
,,,,,,,,"500 Watts, 4.635KC, 4.5C","Paksa, Margarita",,,,,,largometraje
,,,,,,,,Desplazamiento,"Le Parc, Julio",,,,,,Escultura
,,,,,,,,La meteorología del universo financiero,,"Fischer, Hervé",,,,,Pintura
,,,,,,,,Rescate,"Golder, Gabriela",,,,,,Instalaciãn interactiva
,,,,,,,,24 cuadros por segundo,"Florido, Estanislao",,,,,,videoinstalaci„n
,,,,,,,,Palabras mayores,"Rey Beltran, Germán",,,,,,largometraje
,,,,,,,,Edenia,Proyecto Untitled,,,,,,Instalaciãn interactiva
